Channel		Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		1
14		0
15		0
16		4
17		2500
18		3256
19		3520
20		3535
21		3800
22		4162
23		4372
24		4823
25		5256
26		5254
27		5064
28		4595
29		4382
30		4171
31		3954
32		3808
33		3504
34		3501
35		3267
36		3093
37		3106
38		3057
39		2980
40		3039
41		2975
42		3055
43		3031
44		3196
45		3032
46		3088
47		3142
48		3208
49		3059
50		3228
51		3065
52		3103
53		3255
54		3168
55		3138
56		3050
57		3170
58		3183
59		3173
60		3260
61		3062
62		3169
63		3265
64		3230
65		3177
66		3211
67		3331
68		3281
69		3381
70		3417
71		3613
72		3820
73		3863
74		4023
75		4229
76		4259
77		4238
78		4269
79		4389
80		4319
81		4264
82		4246
83		4325
84		4201
85		4238
86		4309
87		4346
88		4278
89		4153
90		4130
91		4283
92		4244
93		4220
94		4025
95		4112
96		4076
97		4119
98		3999
99		3986
100		3864
101		3959
102		3928
103		3876
104		3816
105		3584
106		3636
107		3735
108		3696
109		3584
110		3594
111		3456
112		3544
113		3473
114		3457
115		3570
116		3286
117		3370
118		3202
119		3182
120		3231
121		3296
122		3147
123		3174
124		3213
125		3168
126		3182
127		3122
128		3164
129		3121
130		3057
131		3147
132		3045
133		3027
134		3077
135		3025
136		3047
137		2927
138		3003
139		2984
140		2985
141		2957
142		2981
143		3022
144		2921
145		3028
146		2927
147		2886
148		3006
149		2991
150		2912
151		2970
152		2984
153		2998
154		2964
155		2979
156		3053
157		3152
158		2990
159		3155
160		3024
161		3061
162		3092
163		3163
164		3149
165		3027
166		3150
167		3068
168		3145
169		3213
170		3078
171		3152
172		3222
173		3107
174		3137
175		3070
176		2998
177		2959
178		2917
179		2809
180		2709
181		2615
182		2418
183		2155
184		2098
185		1975
186		1883
187		1648
188		1501
189		1442
190		1316
191		1214
192		1168
193		1048
194		967
195		903
196		852
197		833
198		821
199		678
200		708
201		605
202		596
203		570
204		544
205		547
206		498
207		480
208		417
209		459
210		422
211		426
212		409
213		400
214		384
215		378
216		386
217		405
218		360
219		399
220		445
221		420
222		441
223		487
224		519
225		501
226		581
227		635
228		670
229		812
230		993
231		1050
232		1331
233		1565
234		1946
235		2266
236		2802
237		3511
238		4159
239		5055
240		6021
241		7007
242		8209
243		9461
244		10523
245		11694
246		12817
247		13723
248		14268
249		14970
250		15174
251		15050
252		14452
253		13723
254		12647
255		11721
256		10290
257		9229
258		7961
259		6571
260		5463
261		4630
262		3561
263		2934
264		2379
265		1858
266		1600
267		1242
268		977
269		794
270		710
271		607
272		465
273		410
274		337
275		325
276		274
277		172
278		140
279		139
280		131
281		106
282		97
283		73
284		58
285		50
286		36
287		30
288		38
289		33
290		27
291		31
292		34
293		21
294		30
295		27
296		37
297		28
298		27
299		28
300		25
301		21
302		28
303		30
304		26
305		31
306		22
307		22
308		31
309		26
310		32
311		26
312		22
313		25
314		29
315		25
316		25
317		34
318		22
319		28
320		13
321		20
322		30
323		27
324		38
325		30
326		24
327		30
328		23
329		19
330		17
331		24
332		24
333		22
334		26
335		22
336		19
337		16
338		19
339		17
340		19
341		27
342		18
343		18
344		24
345		22
346		20
347		22
348		13
349		24
350		15
351		11
352		15
353		26
354		16
355		19
356		21
357		18
358		19
359		25
360		20
361		18
362		17
363		8
364		28
365		23
366		12
367		18
368		14
369		19
370		16
371		29
372		17
373		27
374		21
375		15
376		19
377		24
378		18
379		19
380		17
381		20
382		11
383		17
384		15
385		15
386		18
387		20
388		14
389		13
390		13
391		20
392		8
393		20
394		14
395		19
396		11
397		9
398		10
399		20
400		15
401		16
402		19
403		16
404		11
405		14
406		20
407		12
408		18
409		17
410		6
411		14
412		13
413		15
414		13
415		13
416		9
417		6
418		11
419		8
420		12
421		12
422		14
423		10
424		15
425		9
426		11
427		9
428		14
429		12
430		12
431		13
432		14
433		13
434		9
435		9
436		6
437		8
438		10
439		12
440		5
441		6
442		11
443		13
444		8
445		10
446		12
447		9
448		14
449		13
450		11
451		9
452		11
453		13
454		16
455		13
456		14
457		18
458		22
459		15
460		12
461		16
462		11
463		17
464		12
465		24
466		27
467		16
468		15
469		18
470		16
471		10
472		13
473		18
474		18
475		10
476		10
477		14
