Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	902
18	1707
19	1704
20	1858
21	1953
22	2259
23	2429
24	2714
25	2788
26	2925
27	2926
28	2539
29	2353
30	2240
31	2134
32	2099
33	1979
34	1863
35	1729
36	1738
37	1637
38	1598
39	1650
40	1633
41	1632
42	1595
43	1600
44	1613
45	1652
46	1681
47	1656
48	1659
49	1698
50	1638
51	1633
52	1621
53	1617
54	1624
55	1640
56	1721
57	1671
58	1711
59	1661
60	1714
61	1704
62	1683
63	1672
64	1687
65	1618
66	1622
67	1685
68	1626
69	1635
70	1598
71	1673
72	1584
73	1639
74	1620
75	1578
76	1693
77	1671
78	1706
79	1649
80	1672
81	1876
82	1807
83	1942
84	1989
85	1915
86	2050
87	2141
88	2130
89	2154
90	2115
91	2212
92	2193
93	2222
94	2240
95	2142
96	2096
97	2154
98	2143
99	2154
100	2161
101	2072
102	2144
103	2090
104	2075
105	2115
106	2183
107	2175
108	2106
109	2066
110	2107
111	2166
112	2080
113	2040
114	1998
115	2007
116	2090
117	1995
118	2001
119	1976
120	2003
121	1954
122	1902
123	1966
124	1988
125	1992
126	1950
127	1973
128	1899
129	1839
130	1797
131	1815
132	1914
133	1774
134	1668
135	1794
136	1709
137	1689
138	1727
139	1707
140	1781
141	1651
142	1663
143	1674
144	1663
145	1688
146	1678
147	1646
148	1644
149	1522
150	1552
151	1586
152	1585
153	1488
154	1557
155	1664
156	1495
157	1570
158	1570
159	1519
160	1453
161	1484
162	1467
163	1463
164	1479
165	1423
166	1478
167	1393
168	1423
169	1428
170	1401
171	1430
172	1435
173	1405
174	1338
175	1356
176	1371
177	1407
178	1377
179	1364
180	1417
181	1315
182	1402
183	1380
184	1308
185	1328
186	1370
187	1387
188	1352
189	1328
190	1360
191	1349
192	1392
193	1347
194	1342
195	1388
196	1351
197	1327
198	1370
199	1364
200	1326
201	1424
202	1374
203	1287
204	1324
205	1271
206	1368
207	1262
208	1305
209	1272
210	1240
211	1375
212	1231
213	1258
214	1248
215	1332
216	1295
217	1315
218	1275
219	1268
220	1308
221	1397
222	1302
223	1296
224	1290
225	1264
226	1316
227	1325
228	1329
229	1315
230	1290
231	1302
232	1325
233	1290
234	1325
235	1283
236	1245
237	1368
238	1218
239	1351
240	1285
241	1248
242	1350
243	1315
244	1348
245	1301
246	1370
247	1275
248	1358
249	1415
250	1320
251	1315
252	1355
253	1360
254	1408
255	1369
256	1364
257	1371
258	1347
259	1398
260	1370
261	1331
262	1404
263	1382
264	1343
265	1462
266	1344
267	1406
268	1397
269	1402
270	1455
271	1401
272	1380
273	1389
274	1501
275	1493
276	1445
277	1453
278	1507
279	1469
280	1509
281	1429
282	1428
283	1537
284	1534
285	1594
286	1552
287	1509
288	1566
289	1477
290	1544
291	1606
292	1506
293	1544
294	1604
295	1563
296	1650
297	1591
298	1662
299	1655
300	1576
301	1702
302	1678
303	1713
304	1774
305	1758
306	1679
307	1770
308	1697
309	1655
310	1780
311	1796
312	1797
313	1858
314	1800
315	1752
316	1796
317	1892
318	1778
319	1863
320	1825
321	1892
322	1830
323	1878
324	1847
325	1861
326	1821
327	1833
328	1775
329	1838
330	1822
331	1909
332	1679
333	1718
334	1680
335	1681
336	1580
337	1594
338	1548
339	1534
340	1451
341	1439
342	1396
343	1344
344	1324
345	1330
346	1268
347	1285
348	1217
349	1255
350	1246
351	1251
352	1251
353	1142
354	1262
355	1256
356	1219
357	1199
358	1204
359	1208
360	1183
361	1207
362	1227
363	1228
364	1195
365	1166
366	1209
367	1164
368	1085
369	1179
370	1186
371	1200
372	1122
373	1107
374	1066
375	1114
376	1121
377	1188
378	1097
379	1171
380	1152
381	1239
382	1353
383	1391
384	1498
385	1623
386	1866
387	2057
388	2169
389	2359
390	2596
391	2802
392	2999
393	3155
394	3259
395	3378
396	3432
397	3300
398	3360
399	3269
400	3159
401	2933
402	2713
403	2444
404	2253
405	1948
406	1807
407	1520
408	1258
409	1112
410	1027
411	839
412	783
413	753
414	634
415	607
416	595
417	627
418	682
419	692
420	724
421	829
422	951
423	1104
424	1131
425	1330
426	1518
427	1640
428	1923
429	2014
430	2199
