Channel		Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		271
18		560
19		610
20		656
21		715
22		728
23		807
24		841
25		956
26		970
27		1025
28		862
29		841
30		763
31		730
32		676
33		718
34		659
35		631
36		578
37		556
38		546
39		539
40		577
41		595
42		615
43		564
44		595
45		584
46		562
47		628
48		593
49		587
50		578
51		628
52		604
53		561
54		580
55		531
56		576
57		520
58		573
59		579
60		531
61		592
62		578
63		568
64		564
65		581
66		611
67		571
68		565
69		578
70		626
71		579
72		629
73		687
74		664
75		712
76		697
77		760
78		730
79		715
80		687
81		708
82		739
83		747
84		717
85		715
86		727
87		753
88		724
89		758
90		736
91		694
92		664
93		729
94		727
95		687
96		636
97		694
98		724
99		738
100		734
101		615
102		634
103		667
104		644
105		651
106		643
107		627
108		560
109		608
110		633
111		603
112		587
113		571
114		596
115		547
116		568
117		546
118		586
119		592
120		523
121		551
122		544
123		548
124		547
125		564
126		534
127		502
128		515
129		563
130		485
131		534
132		522
133		525
134		537
135		518
136		467
137		507
138		540
139		486
140		525
141		511
142		507
143		502
144		504
145		508
146		509
147		530
148		493
149		472
150		454
151		481
152		500
153		494
154		504
155		515
156		508
157		519
158		529
159		522
160		501
161		522
162		516
163		493
164		510
165		509
166		481
167		537
168		540
169		536
170		502
171		533
172		514
173		544
174		537
175		540
176		498
177		490
178		496
179		496
180		455
181		416
182		485
183		420
184		364
185		312
186		330
187		341
188		278
189		242
190		220
191		222
192		232
193		192
194		190
195		175
196		183
197		164
198		158
199		150
200		141
201		140
202		142
203		129
204		108
205		128
206		136
207		98
208		121
209		92
210		86
211		105
212		80
213		90
214		87
215		90
216		81
217		95
218		92
219		75
220		87
221		91
222		100
223		85
224		87
225		101
226		106
227		107
228		109
229		147
230		164
231		171
232		204
233		230
234		304
235		334
236		424
237		510
238		630
239		724
240		907
241		1021
242		1166
243		1383
244		1627
245		1859
246		1933
247		2010
248		2232
249		2331
250		2427
251		2458
252		2425
253		2302
254		2198
255		1997
256		1864
257		1672
258		1487
259		1298
260		1060
261		858
262		727
263		566
264		458
265		351
266		304
267		253
268		203
269		189
270		146
271		121
272		130
273		93
274		85
275		83
276		74
277		64
278		49
279		37
280		50
281		39
282		29
283		38
284		27
285		26
286		21
287		23
288		26
289		28
290		12
291		25
292		35
293		28
294		38
295		18
296		26
297		20
298		22
299		16
300		24
301		18
302		20
303		21
304		24
305		21
306		24
307		19
308		24
309		22
310		27
311		16
312		35
313		18
314		28
315		22
316		21
317		17
318		22
319		26
320		12
321		21
322		10
323		14
324		13
325		17
326		16
327		17
328		9
329		17
330		14
331		12
332		11
333		9
334		14
335		12
336		15
337		18
338		9
339		12
340		7
341		13
342		11
343		8
344		8
345		6
346		13
347		9
348		4
349		7
350		7
351		8
352		7
353		7
354		5
355		8
356		12
357		9
358		6
359		12
360		9
361		10
362		14
363		5
364		11
365		12
366		12
367		23
368		11
369		26
370		33
371		15
372		35
373		41
374		45
375		41
376		54
377		38
378		48
379		55
380		65
381		57
382		54
383		51
384		63
385		56
386		65
387		59
388		43
389		47
390		26
391		40
392		39
393		23
394		15
395		11
396		18
397		18
398		11
399		10
400		8
401		7
402		10
403		10
404		4
405		9
406		6
407		6
408		3
409		6
410		5
411		8
412		5
413		3
414		5
415		2
416		3
417		3
418		3
419		7
420		8
421		6
422		2
423		2
424		5
425		5
426		5
427		4
428		0
429		5
430		3
431		1
432		3
433		4
434		1
435		2
436		1
437		2
438		5
439		3
440		3
441		2
442		3
443		1
444		4
445		2
446		6
447		6
448		4
449		6
450		4
451		3
452		3
453		6
454		4
455		5
456		5
457		2
458		3
459		2
460		5
461		7
462		8
463		3
464		6
465		6
466		6
467		7
468		6
469		2
470		1
471		5
472		4
473		6
474		3
475		3
476		8
477		7
478		1
479		4
480		1
481		1
482		0
483		0
484		1
485		1
486		2
487		2
488		4
489		1
490		1
491		0
492		0
493		1
494		2
495		0
496		2
497		1
498		0
499		1
500		1
501		1
502		2
503		2
504		2
505		2
506		0
507		1
508		4
509		4
510		1
511		5
512		0
513		2
514		1
515		1
516		3
517		1
518		1
519		0
520		1
521		3
522		4
523		0
524		1
525		0
526		3
