Wavelength	Counts
4860	307
4860.2	263
4860.4	295
4860.6	328
4860.8	296
4861	287
4861.2	295
4861.4	311
4861.6	270
4861.8	323
4862	305
4862.2	299
4862.4	300
4862.6	34
4862.8	295
4863	294
4863.2	323
4863.4	318
4863.6	321
4863.8	317
4864	340
4864.2	323
4864.4	359
4864.6	351
4864.8	330
4865	364
4865.2	371
4865.4	382
4865.6	388
4865.8	405
4866	377
4866.2	431
4866.4	426
4866.6	428
4866.8	453
4867	459
4867.2	470
4867.4	488
4867.6	457
4867.8	479
4868	482
4868.2	550
4868.4	531
4868.6	538
4868.8	592
4869	618
4869.2	600
4869.4	666
4869.6	713
4869.8	745
4870	756
4870.2	848
4870.4	813
4870.6	909
4870.8	950
4871	980
4871.2	1128
4871.4	1180
4871.6	1221
4871.8	1344
4872	1489
4872.2	1609
4872.4	1986
4872.6	2152
4872.8	2861
4873	3565
4873.2	5154
4873.4	8565
4873.6	14387
4873.8	21108
4874	26462
4874.2	30256
4874.4	33021
4874.6	34726
4874.8	36083
4875	36920
4875.2	37978
4875.4	38632
4875.6	39193
4875.8	39365
4876	39757
4876.2	40060
4876.4	40170
4876.6	40338
4876.8	40684
4877	4415
4877.2	40611
4877.4	40510
4877.6	40587
4877.8	40507
4878	4441
4878.2	4495
4878.4	40220
4878.6	4439
4878.8	4472
4879	40503
4879.2	40269
4879.4	40181
4879.6	40242
4879.8	40258
4880	40321
4880.2	40072
4880.4	40112
4880.6	40098
4880.8	40030
4881	40105
4881.2	39915
4881.4	39973
4881.6	39953
4881.8	39989
4882	40196
4882.2	40128
4882.4	40126
4882.6	40199
4882.8	40387
4883	40036
4883.2	40080
4883.4	40126
4883.6	39868
4883.8	40017
4884	39860
4884.2	39706
4884.4	39501
4884.6	39413
4884.8	39091
4885	38872
4885.2	38522
4885.4	38145
4885.6	37957
4885.8	37489
4886	36910
4886.2	36551
4886.4	35862
4886.6	35476
4886.8	34800
4887	34134
4887.2	33629
4887.4	32884
4887.6	31859
4887.8	31099
4888	30317
4888.2	29269
4888.4	28263
4888.6	27152
4888.8	25961
4889	24347
4889.2	22869
4889.4	21087
4889.6	18927
4889.8	16477
4890	14021
4890.2	11223
4890.4	7764
4890.6	4897
4890.8	2937
4891	1631
4891.2	1056
4891.4	745
4891.6	601
4891.8	531
4892	448
4892.2	446
4892.4	430
4892.6	388
4892.8	336
4893	326
4893.2	336
4893.4	256
4893.6	282
4893.8	278
4894	258
4894.2	228
4894.4	259
4894.6	260
4894.8	233
4895	207
4895.2	244
4895.4	212
4895.6	203
4895.8	173
4896	195
4896.2	192
4896.4	180
4896.6	162
4896.8	160
4897	169
4897.2	156
4897.4	141
4897.6	149
4897.8	129
4898	146
4898.2	141
4898.4	147
4898.6	131
4898.8	124
4899	125
4899.2	134
4899.4	124
4899.6	121
4899.8	127
4900	111
