Wavelength	Counts
6252	4
6252.5	3
6253	4
6253.5	9
6254	3
6254.5	2
6255	8
6255.5	9
6256	3
6256.5	9
6257	7
6257.5	8
6258	5
6258.5	8
6259	8
6259.5	11
6260	7
6260.5	6
6261	8
6261.5	7
6262	8
6262.5	10
6263	8
6263.5	4
6264	7
6264.5	7
6265	6
6265.5	2
6266	6
6266.5	10
6267	10
6267.5	10
6268	10
6268.5	4
6269	3
6269.5	6
6270	11
6270.5	6
6271	8
6271.5	8
6272	7
6272.5	5
6273	7
6273.5	5
6274	9
6274.5	7
6275	6
6275.5	6
6276	6
6276.5	8
6277	8
6277.5	9
6278	11
6278.5	12
6279	6
6279.5	5
6280	8
6280.5	8
6281	3
6281.5	4
6282	2
6282.5	6
6283	5
6283.5	12
6284	10
6284.5	8
6285	12
6285.5	5
6286	4
6286.5	5
6287	4
6287.5	6
6288	8
6288.5	11
6289	8
6289.5	8
6290	4
6290.5	10
6291	7
6291.5	10
6292	6
6292.5	7
6293	6
6293.5	7
6294	4
6294.5	3
6295	6
6295.5	12
6296	3
6296.5	9
6297	7
6297.5	7
6298	6
6298.5	6
6299	8
6299.5	6
6300	5
6300.5	7
6301	9
6301.5	5
6302	5
6302.5	4
6303	7
6303.5	4
6304	9
6304.5	9
6305	6
6305.5	5
636	7
636.5	9
6307	5
6307.5	5
6308	6
6308.5	7
6309	7
6309.5	6
6310	9
6310.5	6
6311	5
6311.5	8
6312	7
6312.5	7
6313	11
6313.5	9
6314	6
6314.5	14
6315	9
6315.5	7
6316	13
6316.5	8
6317	10
6317.5	8
6318	6
6318.5	3
6319	6
6319.5	8
6320	8
6320.5	8
6321	5
6321.5	7
6322	4
6322.5	7
6323	9
6323.5	9
6324	8
6324.5	4
6325	6
6325.5	6
6326	6
6326.5	12
6327	10
6327.5	4
6328	6
6328.5	7
6329	4
6329.5	5
6330	8
6330.5	6
6331	9
6331.5	6
6332	4
6332.5	13
6333	6
6333.5	4
6334	12
6334.5	5
6335	6
6335.5	3
6336	5
6336.5	9
6337	9
6337.5	7
6338	7
6338.5	11
6339	6
6339.5	4
6340	5
6340.5	6
6341	7
6341.5	5
6342	9
6342.5	4
6343	10
6343.5	11
6344	2
6344.5	4
6345	12
6345.5	6
6346	8
6346.5	5
6347	8
6347.5	12
6348	9
6348.5	25
6349	23
6349.5	165
6350	33008
6350.5	5691
6351	68
6351.5	8
6352	13
6352.5	5
6353	6
6353.5	6
6354	10
6354.5	13
6355	7
6355.5	8
6356	6
6356.5	6
6357	10
6357.5	5
6358	6
6358.5	6
6359	6
6359.5	7
6360	10
6360.5	7
6361	7
6361.5	8
6362	5
6362.5	12
6363	5
6363.5	6
6364	7
6364.5	6
6365	6
6365.5	8
6366	9
6366.5	6
6367	6
6367.5	9
6368	10
6368.5	8
6369	3
6369.5	9
6370	6
6370.5	7
6371	4
6371.5	8
6372	7
6372.5	6
6373	6
6373.5	5
6374	5
6374.5	5
6375	8
6375.5	7
6376	6
6376.5	10
6377	9
6377.5	6
6378	7
6378.5	7
6379	8
6379.5	9
6380	10
6380.5	7
6381	4
6381.5	4
6382	5
6382.5	5
6383	9
6383.5	7
6384	6
6384.5	3
6385	3
6385.5	7
6386	8
6386.5	13
6387	8
6387.5	6
6388	4
6388.5	5
6389	8
6389.5	5
6390	11
6390.5	9
6391	4
6391.5	7
6392	5
6392.5	5
6393	4
6393.5	9
6394	13
6394.5	4
6395	8
6395.5	5
6396	10
6396.5	6
6397	8
6397.5	4
6398	9
6398.5	5
6399	7
6399.5	5
6400	6
