Time   	Heater status  	Temp P   	Temp Q   
11	1	20.8	20.8
21	1	20.8	20.6
31	1	20.8	20.8
41	1	20.8	20.8
51	1	20.8	20.9
61	1	20.8	21.0
71	1	20.8	21.1
81	1	20.8	21.2
91	1	20.8	21.4
101	1	20.8	21.7
111	1	21.0	21.8
121	1	21.0	22.1
131	1	21.1	22.3
141	1	21.2	22.7
151	1	21.1	23.1
161	0	21.3	23.4
171	0	21.5	23.6
181	0	21.6	24.0
191	0	21.7	24.2
201	0	21.9	24.5
211	0	22.0	24.8
221	0	22.1	25.1
231	0	22.3	25.3
241	0	22.5	25.4
251	0	22.6	25.3
261	0	22.7	25.5
271	0	22.8	25.5
281	0	23.0	25.5
291	0	23.0	25.5
301	1	23.1	25.5
311	1	23.1	25.5
321	1	23.3	25.3
331	1	23.3	25.3
341	1	23.3	25.4
351	1	23.3	25.3
361	1	23.5	25.3
371	1	23.5	25.1
381	1	23.5	25.4
391	1	23.5	25.5
401	1	23.6	25.6
411	1	23.5	25.7
421	1	23.5	26.0
431	1	23.6	26.2
441	1	23.7	26.4
451	1	23.8	26.5
461	0	23.8	26.8
471	0	24.0	27.0
481	0	24.1	27.2
491	0	24.2	27.3
501	0	24.3	27.6
511	0	24.3	27.9
521	0	24.5	28.0
531	0	24.6	28.1
541	0	24.8	28.1
551	0	24.8	28.1
561	0	25.0	28.1
571	0	25.0	28.0
581	0	25.1	28.0
591	0	25.1	28.0
601	1	25.2	27.8
611	1	25.3	27.6
621	1	25.2	27.5
631	1	25.2	27.4
641	1	25.2	27.4
651	1	25.1	27.2
661	1	25.2	27.3
671	1	25.2	27.1
681	1	25.1	27.3
691	1	25.3	27.5
701	1	25.1	27.5
711	1	25.1	27.7
721	1	25.3	27.7
731	1	25.3	27.9
741	1	25.3	28.1
751	1	25.3	28.3
761	0	25.4	28.3
771	0	25.6	28.6
781	0	25.5	28.9
791	0	25.6	29.0
801	0	25.8	29.1
811	0	25.8	29.2
821	0	26.0	29.3
831	0	26.0	29.3
841	0	26.1	29.4
851	0	26.0	29.3
861	0	26.1	29.4
871	0	26.1	29.3
881	0	26.3	29.2
891	0	26.3	29.0
901	1	26.3	28.8
911	1	26.3	28.6
921	1	26.3	28.6
931	1	26.3	28.5
941	1	26.3	28.3
951	1	26.1	28.3
961	1	26.3	28.2
971	1	26.1	28.2
981	1	26.1	28.4
991	1	26.1	28.3
1001	1	26.1	28.4
1011	1	26.3	28.5
1021	1	26.2	28.5
1031	1	26.2	28.6
1041	1	26.1	29.0
1051	0	26.3	29.1
1061	0	26.3	29.3
1071	0	26.3	29.6
1081	0	26.3	29.6
1091	0	26.5	29.7
1101	0	26.5	29.9
1111	0	26.6	30.0
1121	0	26.6	30.1
1131	0	26.8	30.1
1141	0	26.8	30.0
1151	0	26.9	30.1
1161	0	27.0	30.0
1171	0	27.0	30.0
1181	0	27.1	29.8
1191	1	27.0	29.6
1201	1	27.0	29.5
1211	1	27.1	29.2
1221	1	27.0	29.2
1231	1	27.0	29.0
1241	1	27.0	29.0
1251	1	27.0	28.8
1261	1	26.8	28.8
1271	1	26.9	28.8
1281	1	26.7	28.8
1291	1	26.7	28.9
1301	1	26.7	29.0
1311	1	26.6	29.2
1321	1	26.7	29.1
1331	1	26.7	29.2
1341	1	26.8	29.4
1351	0	26.8	29.5
1361	0	26.8	29.8
1371	0	27.0	29.8
1381	0	26.9	30.2
1391	0	27.0	30.3
1401	0	27.1	30.4
1411	0	27.1	30.5
1421	0	27.2	30.5
1431	0	27.1	30.5
1441	0	27.4	30.5
1451	0	27.3	30.3
1461	0	27.5	30.5
1471	0	27.3	30.3
1481	0	27.5	30.1
1491	1	27.5	29.9
1501	1	27.4	29.6
1511	1	27.4	29.7
1521	1	27.5	29.4
