Wavelength	Counts
4861	8
4861.2	11
4861.4	6
4861.6	6
4861.8	5
4862	5
4862.2	3
4862.4	4
4862.6	4
4862.8	7
4863	5
4863.2	4
4863.4	6
4863.6	10
4863.8	7
4864	4
4864.2	7
4864.4	1
4864.6	5
4864.8	7
4865	2
4865.2	4
4865.4	7
4865.6	9
4865.8	3
4866	4
4866.2	10
4866.4	6
4866.6	9
4866.8	4
4867	4
4867.2	4
4867.4	7
4867.6	7
4867.8	6
4868	2
4868.2	5
4868.4	5
4868.6	5
4868.8	6
4869	5
4869.2	9
4869.4	2
4869.6	8
4869.8	7
4870	3
4870.2	7
4870.4	6
4870.6	6
4870.8	5
4871	11
4871.2	5
4871.4	8
4871.6	7
4871.8	7
4872	8
4872.2	6
4872.4	3
4872.6	3
4872.8	8
4873	4
4873.2	10
4873.4	8
4873.6	7
4873.8	6
4874	8
4874.2	4
4874.4	10
4874.6	5
4874.8	9
4875	11
4875.2	11
4875.4	8
4875.6	6
4875.8	6
4876	10
4876.2	12
4876.4	2
4876.6	6
4876.8	6
4877	6
4877.2	8
4877.4	5
4877.6	6
4877.8	7
4878	3
4878.2	9
4878.4	9
4878.6	4
4878.8	8
4879	8
4879.2	13
4879.4	17
4879.6	29
4879.8	45
4880	50
4880.2	44
4880.4	53
4880.6	67
4880.8	83
4881	106
4881.2	87
4881.4	98
4881.6	109
4881.8	125
4882	112
4882.2	116
4882.4	101
4882.6	99
4882.8	85
4883	83
4883.2	83
4883.4	57
4883.6	59
4883.8	47
4884	47
4884.2	35
4884.4	23
4884.6	23
4884.8	13
4885	10
4885.2	10
4885.4	9
4885.6	7
4885.8	12
4886	12
4886.2	8
4886.4	4
4886.6	7
4886.8	5
4887	8
4887.2	6
4887.4	5
4887.6	3
4887.8	8
4888	9
4888.2	10
4888.4	8
4888.6	7
4888.8	5
4889	2
4889.2	6
4889.4	7
4889.6	6
4889.8	6
4890	8
4890.2	5
4890.4	6
4890.6	6
4890.8	9
4891	9
4891.2	3
4891.4	9
4891.6	5
4891.8	3
4892	11
4892.2	6
4892.4	11
4892.6	1
4892.8	6
4893	9
4893.2	5
4893.4	4
4893.6	8
4893.8	4
4894	10
4894.2	3
4894.4	5
4894.6	2
4894.8	5
4895	11
4895.2	8
4895.4	6
4895.6	8
4895.8	5
4896	9
4896.2	4
4896.4	10
4896.6	5
4896.8	5
4897	9
4897.2	9
4897.4	6
4897.6	5
4897.8	3
4898	5
4898.2	8
4898.4	5
4898.6	7
4898.8	3
4899	6
4899.2	6
4899.4	5
4899.6	11
4899.8	14
4900	5
