Wavelength	
6562	6
6562.2	3
6562.4	6
6562.6	6
6562.8	6
6563	11
6563.2	4
6563.4	7
6563.6	8
6563.8	7
6564	5
6564.2	5
6564.4	7
6564.6	6
6564.8	8
6565	8
6565.2	8
6565.4	6
6565.6	9
6565.8	10
6566	7
6566.2	7
6566.4	6
6566.6	2
6566.8	6
6567	7
6567.2	8
6567.4	7
6567.6	12
6567.8	6
6568	7
6568.2	7
6568.4	4
6568.6	13
6568.8	8
6569	7
6569.2	8
6569.4	2
6569.6	6
6569.8	9
6570	5
6570.2	6
6570.4	6
6570.6	8
6570.8	6
6571	5
6571.2	11
6571.4	9
6571.6	7
6571.8	12
6572	9
6572.2	7
6572.4	9
6572.6	3
6572.8	8
6573	7
6573.2	8
6573.4	4
6573.6	3
6573.8	5
6574	14
6574.2	5
6574.4	6
6574.6	9
6574.8	11
6575	6
6575.2	6
6575.4	9
6575.6	8
6575.8	10
6576	7
6576.2	14
6576.4	8
6576.6	16
6576.8	19
6577	23
6577.2	57
6577.4	95
6577.6	171
6577.8	324
6578	406
6578.2	669
6578.4	875
6578.6	1131
6578.8	1386
6579	1742
6579.2	2012
6579.4	2324
6579.6	2699
6579.8	3044
6580	3432
6580.2	3679
6580.4	3991
6580.6	4436
6580.8	4729
6581	5010
6581.2	5292
6581.4	5664
6581.6	5818
6581.8	6101
6582	6592
6582.2	6699
6582.4	6956
6582.6	7173
6582.8	7366
6583	7490
6583.2	7880
6583.4	8121
6583.6	8242
6583.8	8230
6584	8464
6584.2	8314
6584.4	8206
6584.6	7997
6584.8	7725
6585	7435
6585.2	6892
6585.4	6606
6585.6	6133
6585.8	5894
6586	5340
6586.2	5053
6586.4	4597
6586.6	4312
6586.8	3830
6587	3450
6587.2	3187
6587.4	2861
6587.6	2613
6587.8	2179
6588	2008
6588.2	1707
6588.4	1478
6588.6	1280
6588.8	1085
6589	928
6589.2	775
6589.4	723
6589.6	571
6589.8	454
6590	353
6590.2	320
6590.4	283
6590.6	190
6590.8	154
6591	107
6591.2	115
6591.4	101
6591.6	62
6591.8	49
6592	55
6592.2	32
6592.4	28
6592.6	21
6592.8	23
6593	16
6593.2	11
6593.4	6
6593.6	4
6593.8	9
6594	8
6594.2	5
6594.4	4
6594.6	7
6594.8	3
6595	11
6595.2	8
6595.4	6
6595.6	4
6595.8	6
6596	9
6596.2	6
6596.4	4
6596.6	6
6596.8	6
6597	4
6597.2	5
6597.4	9
6597.6	7
6597.8	8
6598	7
6598.2	7
6598.4	3
6598.6	13
6598.8	9
6599	6
6599.2	4
6599.4	7
6599.6	14
6599.8	11
6600	5
