Wavelength	Counts
4100	209
4100.2	221
4100.4	209
4100.6	191
4100.8	175
4101	190
4101.2	188
4101.4	192
4101.6	193
4101.8	181
4102	218
4102.2	195
4102.4	184
4102.6	176
4102.8	192
4103	173
4103.2	181
4103.4	160
4103.6	191
4103.8	185
414	207
414.2	214
414.4	202
414.6	188
414.8	180
4105	181
4105.2	203
4105.4	177
4105.6	212
4105.8	216
4106	192
4106.2	208
4106.4	201
4106.6	187
4106.8	165
4107	197
4107.2	213
4107.4	203
4107.6	196
4107.8	198
4108	202
4108.2	24
4108.4	220
4108.6	180
4108.8	184
4109	198
4109.2	191
4109.4	217
4109.6	199
4109.8	201
4110	215
4110.2	213
4110.4	209
4110.6	180
4110.8	195
4111	192
4111.2	215
4111.4	225
4111.6	24
4111.8	234
4112	200
4112.2	210
4112.4	220
4112.6	187
4112.8	223
4113	247
4113.2	261
4113.4	299
4113.6	414
4113.8	593
4114	875
4114.2	1327
4114.4	1931
4114.6	2673
4114.8	3244
4115	3999
4115.2	484
4115.4	5439
4115.6	6356
4115.8	7131
4116	7758
4116.2	8466
4116.4	9100
4116.6	9647
4116.8	10180
4117	10807
4117.2	11424
4117.4	11553
4117.6	12172
4117.8	12558
4118	12896
4118.2	13452
4118.4	13753
4118.6	14101
4118.8	14403
4119	14775
4119.2	14758
4119.4	15429
4119.6	15424
4119.8	15809
4120	15954
4120.2	16398
4120.4	16621
4120.6	16519
4120.8	16579
4121	17076
4121.2	17006
4121.4	17273
4121.6	17259
4121.8	17266
4122	17221
4122.2	16830
4122.4	16297
4122.6	15916
4122.8	15453
4123	14850
4123.2	14187
4123.4	13465
4123.6	12921
4123.8	12334
4124	11743
4124.2	10913
4124.4	10233
4124.6	9737
4124.8	9095
4125	8427
4125.2	8081
4125.4	7501
4125.6	748
4125.8	6510
4126	6062
4126.2	5501
4126.4	549
4126.6	4731
4126.8	4179
4127	3942
4127.2	3495
4127.4	3226
4127.6	2821
4127.8	2679
4128	2309
4128.2	2085
4128.4	1788
4128.6	1592
4128.8	1327
4129	1118
4129.2	999
4129.4	856
4129.6	723
4129.8	621
4130	575
4130.2	477
4130.4	395
4130.6	355
4130.8	324
4131	270
4131.2	280
4131.4	250
4131.6	224
4131.8	259
4132	250
4132.2	226
4132.4	215
4132.6	243
4132.8	250
4133	278
4133.2	215
4133.4	211
4133.6	220
4133.8	249
4134	244
4134.2	242
4134.4	223
4134.6	239
4134.8	241
4135	246
4135.2	226
4135.4	223
4135.6	223
4135.8	214
4136	253
4136.2	231
4136.4	238
4136.6	246
4136.8	244
4137	248
4137.2	245
4137.4	240
4137.6	232
4137.8	230
4138	256
4138.2	263
4138.4	239
4138.6	242
4138.8	224
4139	239
4139.2	236
4139.4	264
4139.6	268
4139.8	220
4140	215
