Wavelength	Counts
4340	254
4340.2	190
4340.4	211
4340.6	215
4340.8	226
4341	208
4341.2	232
4341.4	226
4341.6	250
4341.8	219
4342	230
4342.2	197
4342.4	227
4342.6	221
4342.8	228
4343	236
4343.2	211
4343.4	244
4343.6	231
4343.8	219
4344	246
4344.2	231
4344.4	223
4344.6	243
4344.8	241
4345	243
4345.2	253
4345.4	267
4345.6	246
4345.8	255
4346	237
4346.2	259
4346.4	291
4346.6	255
4346.8	238
4347	263
4347.2	290
4347.4	288
4347.6	273
4347.8	281
4348	293
4348.2	275
4348.4	301
4348.6	286
4348.8	318
4349	312
4349.2	354
4349.4	351
4349.6	333
4349.8	344
4350	362
4350.2	341
4350.4	410
4350.6	398
4350.8	405
4351	438
4351.2	466
4351.4	485
4351.6	554
4351.8	640
4352	940
4352.2	1480
4352.4	3342
4352.6	6544
4352.8	10984
4353	15189
4353.2	18570
4353.4	21140
4353.6	23136
4353.8	24932
4354	26344
4354.2	27576
4354.4	28436
4354.6	29185
4354.8	29779
4355	30720
4355.2	31201
4355.4	31559
4355.6	31914
4355.8	32622
4356	32772
4356.2	33253
4356.4	33520
4356.6	33897
4356.8	34175
4357	34460
4357.2	34665
4357.4	35145
4357.6	35237
4357.8	35291
4358	35488
4358.2	35597
4358.4	35776
4358.6	35812
4358.8	35915
4359	36324
4359.2	36118
4359.4	36314
4359.6	36408
4359.8	36413
4360	36592
4360.2	36638
4360.4	36443
4360.6	36639
4360.8	36318
4361	36147
4361.2	35735
4361.4	35491
4361.6	35061
4361.8	34737
4362	34422
4362.2	33930
4362.4	33401
4362.6	33052
4362.8	32660
4363	32148
4363.2	31613
4363.4	31353
4363.6	30790
4363.8	30051
4364	29590
4364.2	29048
4364.4	28395
4364.6	27897
4364.8	27183
4365	26527
4365.2	25903
4365.4	25297
4365.6	24320
4365.8	23629
4366	22892
4366.2	21994
4366.4	20977
4366.6	20216
4366.8	19186
4367	17953
4367.2	16965
4367.4	15648
4367.6	14373
4367.8	12771
4368	11389
4368.2	9873
4368.4	8276
4368.6	6716
4368.8	5217
4369	3775
4369.2	2658
4369.4	1833
4369.6	1157
4369.8	732
4370	515
4370.2	401
4370.4	328
4370.6	290
4370.8	277
4371	298
4371.2	284
4371.4	246
4371.6	276
4371.8	265
4372	275
4372.2	232
4372.4	244
4372.6	248
4372.8	216
4373	283
4373.2	234
4373.4	235
4373.6	226
4373.8	222
4374	226
4374.2	210
4374.4	225
4374.6	214
4374.8	238
4375	268
4375.2	222
4375.4	229
4375.6	213
4375.8	235
4376	229
4376.2	216
4376.4	225
4376.6	213
4376.8	225
4377	223
4377.2	200
4377.4	201
4377.6	210
4377.8	216
4378	213
4378.2	193
4378.4	214
4378.6	211
4378.8	210
4379	191
4379.2	203
4379.4	196
4379.6	216
4379.8	196
4380	207
