Wavelength	Counts
4340	25
4340.2	30
4340.4	35
4340.6	32
4340.8	33
4341	34
4341.2	39
4341.4	26
4341.6	30
4341.8	31
4342	37
4342.2	33
4342.4	19
4342.6	32
4342.8	41
4343	36
4343.2	24
4343.4	31
4343.6	29
4343.8	33
4344	37
4344.2	31
4344.4	31
4344.6	30
4344.8	24
4345	38
4345.2	29
4345.4	40
4345.6	32
4345.8	31
4346	29
4346.2	30
4346.4	34
4346.6	42
4346.8	41
4347	36
4347.2	38
4347.4	41
4347.6	39
4347.8	26
4348	37
4348.2	32
4348.4	40
4348.6	38
4348.8	31
4349	36
4349.2	30
4349.4	30
4349.6	46
4349.8	27
4350	37
4350.2	43
4350.4	40
4350.6	36
4350.8	39
4351	32
4351.2	33
4351.4	48
4351.6	41
4351.8	40
4352	35
4352.2	42
4352.4	41
4352.6	36
4352.8	29
4353	43
4353.2	45
4353.4	49
4353.6	41
4353.8	46
4354	54
4354.2	48
4354.4	37
4354.6	54
4354.8	61
4355	57
4355.2	64
4355.4	53
4355.6	69
4355.8	49
4356	58
4356.2	67
4356.4	76
4356.6	81
4356.8	81
4357	102
4357.2	100
4357.4	125
4357.6	133
4357.8	150
4358	205
4358.2	340
4358.4	844
4358.6	2467
4358.8	6808
4359	12774
4359.2	18281
4359.4	22180
4359.6	25118
4359.8	27337
4360	29064
4360.2	30283
4360.4	31297
4360.6	31426
4360.8	31355
4361	31175
4361.2	30187
4361.4	29150
4361.6	27373
4361.8	25365
4362	22658
4362.2	19082
4362.4	14662
4362.6	9553
4362.8	4863
4363	1925
4363.2	799
4363.4	332
4363.6	187
4363.8	127
4364	102
4364.2	95
4364.4	97
4364.6	82
4364.8	63
4365	68
4365.2	61
4365.4	64
4365.6	54
4365.8	58
4366	43
4366.2	53
4366.4	47
4366.6	54
4366.8	45
4367	56
4367.2	53
4367.4	41
4367.6	40
4367.8	47
4368	48
4368.2	35
4368.4	35
4368.6	37
4368.8	39
4369	47
4369.2	31
4369.4	29
4369.6	35
4369.8	39
4370	30
4370.2	37
4370.4	39
4370.6	36
4370.8	25
4371	34
4371.2	37
4371.4	27
4371.6	30
4371.8	44
4372	37
4372.2	45
4372.4	23
4372.6	30
4372.8	23
4373	37
4373.2	36
4373.4	36
4373.6	32
4373.8	30
4374	33
4374.2	21
4374.4	29
4374.6	33
4374.8	38
4375	25
4375.2	33
4375.4	29
4375.6	33
4375.8	32
4376	29
4376.2	38
4376.4	33
4376.6	34
4376.8	40
4377	30
4377.2	27
4377.4	27
4377.6	26
4377.8	26
4378	23
4378.2	34
4378.4	39
4378.6	30
4378.8	31
4379	31
4379.2	31
4379.4	26
4379.6	25
4379.8	27
4380	25
