Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	1
13	0
14	0
15	1
16	0
17	2008
18	3534
19	3783
20	3920
21	4033
22	4441
23	4946
24	5509
25	5923
26	5977
27	5875
28	5480
29	4912
30	4627
31	4537
32	4326
33	4016
34	3743
35	3595
36	3495
37	3394
38	3316
39	3332
40	3298
41	3376
42	3255
43	3427
44	3428
45	3366
46	3368
47	3355
48	3487
49	3436
50	3474
51	3444
52	3557
53	3552
54	3440
55	3409
56	3462
57	3465
58	3554
59	3447
60	3561
61	3566
62	3632
63	3750
64	3818
65	3890
66	4155
67	4215
68	4370
69	4516
70	4500
71	4483
72	4625
73	4756
74	4752
75	4868
76	4751
77	4647
78	4818
79	4770
80	4903
81	4860
82	4743
83	4887
84	4906
85	4744
86	4709
87	4597
88	4777
89	4759
90	4834
91	4582
92	4671
93	4548
94	4599
95	4436
96	4403
97	4387
98	4307
99	4283
100	4238
101	4172
102	4303
103	4055
104	4177
105	4178
106	3960
107	4130
108	3997
109	4082
110	3934
111	3846
112	3970
113	4046
114	3866
115	4012
116	3900
117	3978
118	3935
119	3725
120	3987
121	3918
122	3936
123	3801
124	3861
125	3723
126	3716
127	3655
128	3764
129	3650
130	3401
131	3342
132	3214
133	3079
134	2882
135	2634
136	2622
137	2507
138	2391
139	2236
140	2104
141	1918
142	1900
143	1750
144	1754
145	1676
146	1657
147	1613
148	1496
149	1467
150	1468
151	1430
152	1375
153	1337
154	1304
155	1278
156	1282
157	1294
158	1226
159	1175
160	1219
161	1161
162	1093
163	1106
164	1063
165	1085
166	1098
167	1065
168	1054
169	1056
170	1055
171	1084
172	1073
173	1103
174	1060
175	1146
176	1173
177	1123
178	1264
179	1269
180	1411
181	1496
182	1723
183	1845
184	2154
185	2508
186	2962
187	3657
188	4307
189	5229
190	6249
191	7321
192	8725
193	10245
194	11645
195	13205
196	14289
197	15543
198	16760
199	17220
200	17786
201	17360
202	17250
203	16469
204	15121
205	13949
206	12303
207	10779
208	9032
209	7775
210	6443
211	5248
212	4263
213	3434
214	2736
215	2285
216	1977
217	1654
218	1375
219	1266
220	1178
221	995
222	993
223	848
224	816
225	762
226	694
227	729
228	688
229	663
230	660
231	637
232	643
233	597
234	599
235	645
236	618
237	649
238	608
239	585
240	591
241	553
242	582
243	570
244	632
245	635
246	586
247	588
248	637
249	613
250	573
251	611
252	673
253	613
254	577
255	627
256	667
257	606
258	646
259	660
260	651
261	631
262	629
263	596
264	619
265	606
266	599
267	588
268	610
269	616
270	630
271	628
272	634
273	619
274	635
275	597
276	643
277	631
278	696
279	635
280	672
281	582
282	619
283	644
284	617
285	672
286	625
287	635
288	684
289	699
290	673
291	702
292	657
293	646
294	656
295	692
296	668
297	692
298	664
299	689
300	686
301	659
302	660
303	698
304	687
305	707
306	667
307	699
308	695
309	700
310	775
311	739
312	698
313	765
314	758
315	706
316	801
317	722
318	735
319	723
320	749
321	730
322	779
323	776
324	788
325	752
326	761
327	717
328	760
329	817
330	770
331	807
332	836
333	821
334	800
335	805
336	822
337	836
338	862
339	873
340	834
341	878
342	885
343	843
344	875
345	852
346	861
347	940
348	906
349	954
350	908
351	889
352	896
353	887
354	903
355	828
356	864
357	804
358	797
359	767
360	707
361	714
362	699
363	643
364	657
365	568
366	526
367	531
368	515
369	476
370	444
371	405
372	404
373	359
374	392
375	354
376	309
377	314
378	274
379	274
380	256
381	221
382	218
383	233
384	225
385	183
386	213
387	175
388	199
389	208
390	171
391	171
392	191
393	186
394	191
395	192
396	181
397	197
398	202
399	194
400	241
401	283
402	301
403	343
404	380
405	399
406	519
407	599
408	702
409	808
410	946
411	1163
412	1285
413	1452
414	1613
415	1745
416	1852
417	2136
418	2170
419	2310
420	2335
421	2364
422	2436
423	2386
424	2309
425	2152
426	2032
427	1912
428	1607
429	1538
430	1286
431	1237
432	1093
433	905
434	718
435	641
436	517
437	456
438	423
439	324
440	299
441	213
442	244
443	218
444	191
445	174
446	149
447	152
448	130
449	138
450	123
451	123
452	95
453	103
454	102
455	77
456	99
457	94
458	82
459	78
460	63
461	68
462	72
463	54
464	51
465	70
466	56
467	50
468	65
469	60
470	59
471	51
472	53
473	55
474	56
