Channel		Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		438
18		984
19		1099
20		1177
21		1361
22		1399
23		1498
24		1668
25		1776
26		1749
27		1797
28		1671
29		1661
30		1537
31		1530
32		1503
33		1470
34		1432
35		1362
36		1264
37		1298
38		1199
39		1278
40		1232
41		1241
42		1316
43		1250
44		1205
45		1226
46		1210
47		1217
48		1201
49		1183
50		1226
51		1161
52		1160
53		1098
54		1166
55		1153
56		1067
57		1113
58		1109
59		1123
60		1118
61		1060
62		1071
63		971
64		1037
65		1078
66		1000
67		1042
68		944
69		902
70		993
71		989
72		927
73		982
74		950
75		1015
76		992
77		1015
78		951
79		966
80		1006
81		1044
82		1041
83		1045
84		1028
85		1008
86		1012
87		1003
88		1006
89		954
90		944
91		975
92		983
93		959
94		948
95		938
96		974
97		919
98		940
99		966
100		933
101		931
102		888
103		886
104		884
105		936
106		810
107		794
108		805
109		890
110		762
111		831
112		789
113		811
114		790
115		720
116		782
117		752
118		715
119		770
120		736
121		748
122		713
123		682
124		679
125		683
126		715
127		704
128		642
129		650
130		669
131		635
132		667
133		671
134		656
135		706
136		630
137		618
138		589
139		592
140		623
141		627
142		593
143		575
144		603
145		606
146		570
147		587
148		569
149		590
150		579
151		530
152		538
153		561
154		546
155		588
156		538
157		552
158		546
159		569
160		536
161		517
162		575
163		590
164		547
165		490
166		554
167		505
168		551
169		453
170		512
171		506
172		527
173		519
174		535
175		486
176		503
177		501
178		514
179		514
180		518
181		533
182		552
183		528
184		549
185		540
186		534
187		568
188		529
189		552
190		556
191		574
192		514
193		543
194		530
195		502
196		513
197		538
198		578
199		583
200		588
201		586
202		579
203		569
204		580
205		582
206		610
207		507
208		618
209		574
210		552
211		538
212		583
213		569
214		580
215		544
216		578
217		551
218		591
219		587
220		567
221		560
222		567
223		552
224		611
225		631
226		599
227		589
228		576
229		619
230		558
231		558
232		527
233		545
234		533
235		483
236		491
237		436
238		452
239		416
240		384
241		373
242		361
243		367
244		285
245		299
246		270
247		250
248		229
249		228
250		192
251		221
252		194
253		187
254		153
255		162
256		159
257		156
258		163
259		133
260		149
261		121
262		142
263		113
264		120
265		147
266		134
267		124
268		117
269		128
270		122
271		117
272		103
273		115
274		134
275		119
276		123
277		144
278		117
279		137
280		156
281		175
282		169
283		182
284		187
285		204
286		273
287		284
288		309
289		436
290		446
291		558
292		664
293		751
294		850
295		1073
296		1126
297		1269
298		1492
299		1594
300		1703
301		1842
302		1916
303		2019
304		1969
305		2127
306		1904
307		1978
308		1801
309		1650
310		1609
311		1387
312		1234
313		1045
314		935
315		808
316		710
317		579
318		425
319		361
320		316
321		273
322		229
323		217
324		181
325		168
326		143
327		116
328		129
329		121
330		108
331		97
332		75
333		79
334		74
335		60
336		63
337		50
338		57
339		45
340		41
341		52
342		56
343		45
344		41
345		40
346		51
347		34
348		33
349		31
350		35
351		42
352		31
353		18
354		35
355		30
356		27
357		35
358		43
359		25
360		38
361		19
362		16
363		38
364		38
365		42
366		31
367		33
368		34
369		33
370		28
371		29
372		39
373		37
374		38
375		38
376		35
377		28
378		33
379		26
380		33
381		30
382		32
383		41
384		32
385		42
386		48
387		32
388		35
389		31
390		36
391		28
392		40
393		28
394		29
395		25
396		23
397		24
398		36
399		40
400		23
401		31
402		28
403		28
404		27
405		34
406		32
407		32
408		32
409		32
410		18
411		21
412		32
413		20
414		27
415		29
416		25
417		26
418		29
419		24
420		28
421		28
422		25
423		26
424		27
425		21
426		21
427		28
428		22
429		22
430		26
431		19
432		14
433		26
434		17
435		20
436		8
437		21
438		17
439		26
440		19
441		10
442		15
443		11
444		18
445		25
446		18
447		15
448		25
449		23
450		20
451		21
452		36
453		20
454		24
455		28
456		28
457		35
458		35
459		31
460		36
461		32
462		43
463		35
464		29
465		38
466		40
467		43
468		39
469		35
470		23
471		36
472		26
473		24
474		22
475		17
476		15
477		23
478		15
479		16
480		19
481		20
482		18
483		22
484		16
485		18
486		17
487		16
488		13
489		14
490		20
491		13
492		12
493		9
494		10
495		10
496		9
497		7
498		8
499		8
500		17
501		10
502		10
503		11
504		7
505		12
506		11
507		14
508		6
509		10
510		17
511		10
