Channel		Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		187
18		399
19		462
20		510
21		599
22		658
23		835
24		1025
25		1237
26		1294
27		1342
28		1350
29		1320
30		1391
31		1423
32		1524
33		1711
34		1610
35		1649
36		1452
37		1420
38		1411
39		1236
40		1415
41		1601
42		1966
43		2742
44		3874
45		5549
46		7236
47		8871
48		9901
49		10063
50		9020
51		7553
52		5632
53		4196
54		2937
55		2088
56		1630
57		1261
58		948
59		678
60		530
61		383
62		297
63		246
64		217
65		211
66		215
67		194
68		171
69		204
70		180
71		187
72		180
73		192
74		159
75		164
76		183
77		181
78		172
79		185
80		169
81		162
82		156
83		152
84		141
85		141
86		118
87		131
88		136
89		141
90		128
91		139
92		123
93		134
94		142
95		100
96		137
97		110
98		114
99		115
100		109
101		120
102		117
103		108
104		93
105		112
106		107
107		100
108		77
109		106
110		96
111		88
112		77
113		92
114		92
115		95
116		65
117		74
118		82
119		80
120		79
121		53
122		86
123		63
124		55
125		74
126		70
127		59
128		52
129		61
130		66
131		58
132		74
133		65
134		59
135		64
136		63
137		56
138		60
139		52
140		61
141		43
142		55
143		53
144		55
145		53
146		48
147		56
148		47
149		58
150		44
151		47
152		50
153		45
154		40
155		38
156		48
157		42
158		53
159		39
160		49
161		45
162		52
163		38
164		28
165		51
166		41
167		53
168		32
169		35
170		53
171		37
172		40
173		48
174		38
175		35
176		31
177		30
178		32
179		25
180		36
181		36
182		28
183		33
184		45
185		34
186		35
187		51
188		30
189		35
190		33
191		38
192		30
193		30
194		22
195		31
196		31
197		33
198		34
199		31
200		36
201		27
202		30
203		30
204		37
205		32
206		26
207		39
208		45
209		34
210		26
211		25
212		31
213		28
214		23
215		33
216		26
217		23
218		36
219		23
220		23
221		28
222		24
223		29
224		31
225		39
226		34
227		50
228		29
229		36
230		38
231		33
232		34
233		32
234		29
235		32
236		28
237		25
238		27
239		27
240		33
241		32
242		23
243		21
244		31
245		21
246		26
247		26
248		20
249		22
250		29
251		28
252		24
253		20
254		19
255		16
256		20
257		18
258		23
259		23
260		31
261		22
262		33
263		13
264		28
265		17
266		25
267		19
268		15
269		17
270		20
271		18
272		21
273		23
274		20
275		18
276		19
277		22
278		11
279		20
280		15
281		20
282		13
283		18
284		12
285		22
286		20
287		18
288		21
289		17
290		26
291		12
292		26
293		15
294		22
295		26
296		15
297		15
298		11
299		17
300		11
301		12
302		19
303		14
304		12
305		12
306		21
307		14
308		12
309		11
310		18
311		24
312		17
313		14
314		12
315		20
316		20
317		20
318		9
319		19
320		10
321		23
322		19
323		19
324		18
325		13
326		16
327		10
328		14
329		20
330		19
331		21
332		17
333		21
334		14
335		19
336		13
337		18
338		16
339		11
340		17
341		18
342		21
343		11
344		6
345		7
346		17
347		12
348		12
349		15
350		12
351		10
352		10
353		11
354		12
355		9
356		10
357		8
358		10
359		10
360		14
361		14
362		16
363		15
364		10
365		13
366		18
367		7
368		14
369		17
370		16
371		12
372		9
373		12
374		18
375		9
376		14
377		12
378		12
379		18
380		14
381		13
382		16
383		9
384		18
385		13
386		11
387		13
388		8
389		6
390		10
391		7
392		13
393		15
394		11
395		5
396		10
397		13
398		12
399		11
400		13
401		8
402		6
403		9
404		12
405		8
406		9
407		11
408		15
409		10
410		8
411		14
412		9
413		12
414		12
415		8
416		11
417		7
418		7
419		5
420		13
421		14
422		6
423		12
424		3
425		8
426		7
427		8
428		4
429		8
430		6
431		11
432		5
433		5
434		7
435		4
436		5
437		4
438		5
439		7
440		6
441		8
442		11
443		7
444		4
445		6
446		8
447		10
448		6
449		8
450		10
451		3
452		9
453		12
454		7
455		7
456		5
457		11
458		7
459		13
460		14
461		8
462		16
463		9
464		12
465		17
466		12
467		15
468		13
469		12
470		6
471		10
472		12
473		8
474		14
475		11
476		16
477		13
478		10
479		7
480		14
481		6
482		11
483		2
484		5
485		3
486		6
487		7
488		7
489		5
490		8
491		3
492		4
493		11
494		5
495		3
496		3
497		4
498		3
499		4
500		4
501		3
502		4
503		4
504		3
505		4
506		4
507		5
508		2
509		5
510		3
511		3
512		8
513		6
514		2
515		5
516		7
517		6
518		2
519		3
520		7
521		3
522		5
