Channel		Counts
0		6
1		4
2		9
3		6
4		5
5		5
6		5
7		10
8		9
9		10
10		9
11		9
12		8
13		10
14		11
15		13
16		32
17		91
18		76
19		64
20		92
21		124
22		245
23		247
24		146
25		155
26		176
27		209
28		230
29		315
30		511
31		2169
32		9125
33		13921
34		15853
35		17393
36		18055
37		18619
38		19080
39		18454
40		17818
41		16273
42		15269
43		13996
44		13357
45		12750
46		12646
47		12655
48		13233
49		13660
50		13846
51		14630
52		14970
53		15444
54		15505
55		15999
56		15789
57		15933
58		15358
59		15439
60		15170
61		14592
62		14303
63		13891
64		13674
65		13291
66		13211
67		13011
68		12429
69		12329
70		11913
71		11862
72		11413
73		11222
74		10742
75		10566
76		10306
77		10175
78		9899
79		9523
80		9639
81		9342
82		9059
83		9029
84		8735
85		8450
86		8566
87		8579
88		8320
89		8549
90		8616
91		8698
92		8794
93		9264
94		9628
95		9738
96		10337
97		10808
98		11409
99		11718
100		12051
101		12655
102		13324
103		13731
104		14185
105		14714
106		15153
107		15617
108		15970
109		16454
110		16672
111		16731
112		16921
113		16988
114		16737
115		16580
116		16387
117		16069
118		15925
119		15938
120		16079
121		16640
122		17469
123		18500
124		20013
125		21152
126		23423
127		24894
128		26903
129		28737
130		30580
131		31839
132		32689
133		33793
134		33659
135		33441
136		32535
137		32584
138		30969
139		29683
140		27785
141		26336
142		24601
143		23025
144		21731
145		20459
146		19324
147		18149
148		17495
149		16460
150		15633
151		14713
152		13760
153		13104
154		12149
155		11610
156		10896
157		9995
158		9214
159		8607
160		8073
161		7502
162		7110
163		6917
164		6602
165		6277
166		6172
167		6214
168		5883
169		5895
170		5934
171		5947
172		5867
173		5699
174		5586
175		5392
176		5150
177		4978
178		4862
179		4602
180		4365
181		4224
182		3975
183		3858
184		3533
185		3380
186		3109
187		3103
188		3090
189		2965
190		2711
191		2692
192		2678
193		2662
194		2646
195		2539
196		2549
197		2476
198		2374
199		2447
200		2491
201		2491
202		2447
203		2438
204		2407
205		2665
206		2523
207		2643
208		2572
209		2585
210		2692
211		2722
212		2782
213		2840
214		2808
215		2892
216		2966
217		2970
218		3071
219		3144
220		3210
221		3221
222		3223
223		3293
224		3381
225		3456
226		3587
227		3646
228		3740
229		3707
230		3773
231		3997
232		3933
233		4142
234		4218
235		4295
236		4459
237		4771
238		4681
239		4618
240		5032
241		5164
242		5278
243		5474
244		5566
245		5793
246		6050
247		6235
248		6404
249		6685
250		6916
251		7104
252		7338
253		7513
254		7737
255		8040
256		8210
257		8624
258		8577
259		8802
260		8999
261		8964
262		9124
263		9253
264		9466
265		9692
266		10230
267		10907
268		11729
269		13054
270		14488
271		15863
272		17142
273		17972
274		17813
275		17280
276		16026
277		15454
278		14696
279		13465
280		12274
281		10366
282		8153
283		6351
284		4783
285		3430
286		2547
287		2031
288		1562
289		1465
290		1216
291		1128
292		1028
293		899
294		973
295		856
296		833
297		766
298		722
299		675
300		677
301		582
302		559
303		462
304		473
305		435
306		363
307		316
308		264
309		202
310		149
311		134
312		90
313		101
314		80
315		78
316		55
317		49
318		57
319		53
320		55
321		48
322		57
323		55
324		49
325		50
326		47
327		42
328		40
329		45
330		50
331		42
332		45
333		39
334		53
335		40
336		48
337		50
338		40
339		34
340		39
341		40
342		28
343		50
344		30
345		40
346		41
347		40
348		43
349		36
350		46
351		42
352		38
353		29
354		51
355		47
356		46
357		45
358		45
359		32
360		38
361		27
362		38
363		37
364		37
365		31
366		51
367		43
368		37
369		39
370		38
371		39
372		46
373		32
374		50
375		36
376		45
377		39
378		39
